,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy
4620,1900000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Agungi Agungi,
4621,1800000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Ilupeju,Off Coker Rd Ilupeju Lagos State Coker Road,
4622,2300000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Ikota Villa Estate Ikota,
4623,3000000,1,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Eletu Street Osapa London,
4624,1500000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Ilupeju,Coker Rd Ilupeju Lagos State Coker Road,
4625,10000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi, Banana Island,
4626,5500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra Ikeja Gra,
4627,6500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra Ikeja Gra,
4628,4500000,1,1,1,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Adebisi Ladejo Close Lekki Phase 1 Lekki Phase 1,
4629,2500000,0,1,1,3,3,4,0,1,0,0,0,1,Lagos,Lekki,Aliu Animashahun Strt Off Providence Street Lekki Phase 1 Lekki Phase 1,
4630,4000000,1,1,1,4,4,5,1,1,0,0,0,1,Lagos,Lekki,"Tony Oghene Jode Close,lekki Phase 1 Lekki Phase 1",
4631,3000000,0,1,1,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Johnson Omorine Street Lekki Phase 1 Lekki Phase 1,
4632,900000,0,1,1,2,2,3,1,1,0,0,0,1,Lagos,Odofin,Lily Estate Amuwo Odofin Amuwo,
4633,1400000,1,1,0,3,3,5,1,1,0,0,0,1,Lagos,Maryland,Sparklight Estate Opp Opic Off Lagos Ibadan Express Way Lsdpc Maryland Estate,
4634,1300000,0,1,0,3,3,3,1,1,0,0,0,1,Lagos,Isolo,Ajao Estate,
4635,900000,1,1,1,2,2,3,0,1,0,0,0,1,Lagos,Ajah,Owode Langbasa Road Ajah Ado,
4636,3000000,0,1,1,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Johnson Omorin Street Lekki Phase 1 Lekki Phase 1,
4637,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Johnson Omorine Street Lekki Phase 1,
4638,3000000,0,1,1,3,4,4,1,1,0,0,0,1,Lagos,Lekki,Johnson Omorine Lekki Phase 1 Lekki Phase 1,
4639,3000000,1,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Chevron Alternative Route Chevron,
4640,2000000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Gbagada,Atunrase Estate Atunrase Medina,
4641,1000000,0,1,1,3,3,3,1,1,0,0,0,1,Lagos,Ojodu,Olowora Olowora,
4642,2500000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Ikeja,Shonibare Estate Mobolaji Bank Anthony Way,
4643,1000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ogba,College Road Gated Community Ifako Ogba,
4644,3500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ologolo Road Agungi,
4645,3000000,0,0,1,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Osapa London Osapa London,
4646,3000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,Elegansa,
4647,4000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Ogundana Street Off Allen Avenue Ikeja Allen Avenue,
4648,500000,0,1,0,1,1,0,1,1,0,0,1,1,Lagos,Lekki,Bera Estate,
4649,2500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ajah,Elegansa,
4650,400000,0,0,0,2,2,2,0,1,0,0,0,1,Lagos,Ipaja,Ipaja Road,
4651,1200000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,"Off Mobil Road, Ajah (ilaje Bus Stop) Ilaje",
