,Unnamed: 0,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy,location_append,Price Standard,Longitude,Latitude
3642,3642,900000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Yemigbenle Isheri North,,"Ojodu, Lagos",-1.3447889435159337,3.3632243589774644,6.6409227554929595
3643,3643,1200000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Aseries Isheri North,,"Ojodu, Lagos",-1.2074518137711217,3.3632243589774644,6.6409227554929595
3644,3644,10000000,0,1,1,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Estate 1 Osborne Foreshore Estate,,"Ikoyi, Lagos",2.821103992076699,3.4223636811624742,6.4547194487926385
3645,3645,8000000,1,1,1,3,3,3,1,1,0,0,0,1,Lagos,Ikoyi,Macdonald Macpherson,,"Ikoyi, Lagos",1.9055231271112851,3.4223636811624742,6.4547194487926385
3646,3646,6000000,0,0,0,6,5,6,1,1,0,0,0,1,Lagos,Ikoyi,Pack View Estate Parkview Estate,,"Ikoyi, Lagos",0.9899422621458714,3.4223636811624742,6.4547194487926385
3647,3647,5500000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Ihuntayi Street Oniru Victoria,,"Victoria Island, Lagos",0.761047045904518,3.44001490107383,6.428345382914202
3648,3648,3800000,1,0,1,3,3,4,1,1,0,0,0,1,Lagos,Victoria Island,Palace Road Oniru Victoria,,"Victoria Island, Lagos",-0.017196689316083733,3.44001490107383,6.428345382914202
3649,3649,2000000,0,0,0,5,5,5,1,1,0,0,0,1,Lagos,Ajah,Crown Estate Sangotedo,,"Ajah, Lagos",-0.8412194677849562,3.5659176270003927,6.4616185490531635
3650,3650,4000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",0.07436139718045764,3.811528889589191,6.463467417995378
3651,3651,4000000,1,1,1,3,4,4,1,1,0,0,0,1,Lagos,Lekki,Lekki Right Lekki Phase 1,,"Lekki, Lagos",0.07436139718045764,3.811528889589191,6.463467417995378
3652,3652,4200000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 2,,"Lekki, Lagos",0.16591948367699902,3.811528889589191,6.463467417995378
3653,3653,3800000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki, Chevron,,"Lekki, Lagos",-0.017196689316083733,3.811528889589191,6.463467417995378
3654,3654,1700000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Lekki,"Off Kusenla Road, Ikate Ikate",,"Lekki, Lagos",-0.9785565975297682,3.811528889589191,6.463467417995378
